NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
kube-system   10m         Normal    AppliedManifest                  addon/metrics-server-service                   Applied manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-server-service.yaml"
default       10m         Normal    Synced                           node/cp-0                                      Node synced successfully
default       10m         Normal    NodePasswordValidationComplete   node/cp-0                                      Deferred node password secret validation complete
kube-system   10m         Normal    SuccessfulCreate                 job/helm-install-traefik                       Created pod: helm-install-traefik-whjhh
default       10m         Normal    RegisteredNode                   node/cp-0                                      Node cp-0 event: Registered Node cp-0 in Controller
kube-system   10m         Normal    SuccessfulCreate                 job/helm-install-traefik-crd                   Created pod: helm-install-traefik-crd-hz5dw
kube-system   10m         Normal    ScalingReplicaSet                deployment/local-path-provisioner              Scaled up replica set local-path-provisioner-578895bd58 from 0 to 1
kube-system   10m         Normal    ScalingReplicaSet                deployment/metrics-server                      Scaled up replica set metrics-server-7b9c9c4b9c from 0 to 1
kube-system   10m         Normal    ScalingReplicaSet                deployment/coredns                             Scaled up replica set coredns-7896679cc from 0 to 1
kube-system   10m         Normal    SuccessfulCreate                 replicaset/metrics-server-7b9c9c4b9c           Created pod: metrics-server-7b9c9c4b9c-4b4bc
kube-system   10m         Normal    SuccessfulCreate                 replicaset/local-path-provisioner-578895bd58   Created pod: local-path-provisioner-578895bd58-4rfgv
kube-system   10m         Normal    SuccessfulCreate                 replicaset/coredns-7896679cc                   Created pod: coredns-7896679cc-p46np
kube-system   10m         Normal    Pulling                          pod/helm-install-traefik-crd-hz5dw             Pulling image "rancher/klipper-helm:v0.9.8-build20250709"
kube-system   10m         Normal    Pulling                          pod/coredns-7896679cc-p46np                    Pulling image "rancher/mirrored-coredns-coredns:1.12.3"
kube-system   10m         Normal    Pulling                          pod/local-path-provisioner-578895bd58-4rfgv    Pulling image "rancher/local-path-provisioner:v0.0.32"
kube-system   10m         Normal    Pulling                          pod/metrics-server-7b9c9c4b9c-4b4bc            Pulling image "rancher/mirrored-metrics-server:v0.8.0"
kube-system   10m         Normal    Pulling                          pod/helm-install-traefik-whjhh                 Pulling image "rancher/klipper-helm:v0.9.8-build20250709"
kube-system   10m         Normal    Pulled                           pod/local-path-provisioner-578895bd58-4rfgv    Successfully pulled image "rancher/local-path-provisioner:v0.0.32" in 4.703s (4.703s including waiting). Image size: 63280597 bytes.
kube-system   10m         Normal    Pulled                           pod/helm-install-traefik-whjhh                 Successfully pulled image "rancher/klipper-helm:v0.9.8-build20250709" in 11.655s (11.655s including waiting). Image size: 215970579 bytes.
kube-system   10m         Normal    Pulled                           pod/helm-install-traefik-crd-hz5dw             Successfully pulled image "rancher/klipper-helm:v0.9.8-build20250709" in 11.46s (11.46s including waiting). Image size: 215970579 bytes.
kube-system   10m         Normal    Created                          pod/local-path-provisioner-578895bd58-4rfgv    Created container: local-path-provisioner
