NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
kube-system   8m26s       Normal    ApplyingManifest                 addon/metrics-apiservice                       Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/metrics-apiservice.yaml"
kube-system   8m25s       Normal    AppliedManifest                  addon/traefik                                  Applied manifest at "/var/lib/rancher/k3s/server/manifests/traefik.yaml"
kube-system   8m25s       Normal    ApplyingManifest                 addon/traefik                                  Applying manifest at "/var/lib/rancher/k3s/server/manifests/traefik.yaml"
kube-system   8m25s       Normal    AppliedManifest                  addon/runtimes                                 Applied manifest at "/var/lib/rancher/k3s/server/manifests/runtimes.yaml"
kube-system   8m24s       Normal    SuccessfulCreate                 job/helm-install-traefik-crd                   Created pod: helm-install-traefik-crd-kjf2w
kube-system   8m24s       Normal    ApplyJob                         helmchart/traefik                              Applying HelmChart using Job kube-system/helm-install-traefik
kube-system   8m24s       Normal    ApplyJob                         helmchart/traefik-crd                          Applying HelmChart using Job kube-system/helm-install-traefik-crd
default       8m24s       Normal    Synced                           node/cp-0                                      Node synced successfully
default       8m24s       Normal    NodePasswordValidationComplete   node/cp-0                                      Deferred node password secret validation complete
kube-system   8m24s       Normal    SuccessfulCreate                 job/helm-install-traefik                       Created pod: helm-install-traefik-nvrfm
kube-system   8m23s       Normal    SuccessfulCreate                 replicaset/coredns-7896679cc                   Created pod: coredns-7896679cc-54vq4
default       8m23s       Normal    RegisteredNode                   node/cp-0                                      Node cp-0 event: Registered Node cp-0 in Controller
kube-system   8m23s       Normal    ScalingReplicaSet                deployment/coredns                             Scaled up replica set coredns-7896679cc from 0 to 1
kube-system   8m23s       Normal    SuccessfulCreate                 replicaset/local-path-provisioner-578895bd58   Created pod: local-path-provisioner-578895bd58-wrs4v
kube-system   8m23s       Normal    ScalingReplicaSet                deployment/local-path-provisioner              Scaled up replica set local-path-provisioner-578895bd58 from 0 to 1
kube-system   8m23s       Normal    ScalingReplicaSet                deployment/metrics-server                      Scaled up replica set metrics-server-7b9c9c4b9c from 0 to 1
kube-system   8m23s       Normal    SuccessfulCreate                 replicaset/metrics-server-7b9c9c4b9c           Created pod: metrics-server-7b9c9c4b9c-7lsv8
